datasetid,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,odi_certificate_url,records_count,attributions,source_domain,source_domain_title,source_domain_address,source_dataset,oauth_scope,dcat.created,dcat.issued,dcat.creator,dcat.contributor,dcat.accrualperiodicity,dcat.spatial,dcat.temporal,dcat.granularity,dcat.dataquality,inspire.file_identifier,inspire.hierarchy_level,inspire.hierarchy_level_name,inspire.contact_individual_name,inspire.contact_position,inspire.contact_address,inspire.contact_email,inspire.identification_purpose,inspire.extend_description,inspire.extend_bounding_box_westbound_longitude,inspire.extend_bounding_box_eastbound_longitude,inspire.extend_bounding_box_southbound_latitude,inspire.extend_bounding_box_northbound_latitude,explore.download_count
correspondance-code-insee-code-postal,Correspondance Code INSEE - Code Postal,"<p>
	Correspondance entre les codes postaux et codes INSEE des communes Françaises.</p><p>
	Ce jeu de données intègre par ailleurs des données de référence sur les communes:</p><ul>
<li>Population</li>
<li>Superficie</li>
<li>Altitude moyenne</li>
<li>Forme géographique</li></ul><p>
	Ce jeu de données a été constitué à partir des données de la base GEOFLA® mise à disposition par l'IGN (codes INSEE) ainsi qu'à partir de données Wikipédia (codes postaux).</p>","Services, Social",,http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,en,2014-01-21T08:41:52+00:00,2015-06-26T05:55:00+00:00,2015-07-20T03:55:00+00:00,OpenDataSoft,,https://certificates.theodi.org/datasets/2613/certificates/14996/,36742,,,,,,,2013-12-02,2013-12-03,,,,France,,,,,,,,,,,,,,,,,24660
polices-municipales-20120,Polices municipales - 2012,<p>Données statistiques relatives aux polices municipales par commune pour l'année 2012</p>,Sécurité,"Police, polices municipales",Licence Ouverte / Open Licence,fr,2014-01-23T11:10:10+00:00,2015-06-25T19:55:01+00:00,2015-07-19T16:55:00+00:00,Ministère de l'Intérieur,http://www.data.gouv.fr/fr/dataset/polices-municipales,,4348,,,,,,,,,,,annuelle,,01/01/2012 - 31/01/2012,commune,,,,,,,,,,,,,,,431
zones-de-rattachement-des-bureaux-de-vote-en-2012,Zones de rattachement des bureaux de vote en 2012,<p>Zones de rattachement des bureaux de vote en 2012</p>,Citoyens,"élection, vote, bureau",Open Data Paris,fr,2014-01-24T15:16:15+00:00,,,Ville de Paris,,,869,,,,,,,2014-01-24,2014-01-24,Ville de Paris,Ville de Paris,Annuelle,Paris,2012,Arrondissement,,,,,,,,,,,,,,,9
zones-de-rattachement-des-bureaux-de-vote-en-2014,Zones de rattachement des bureaux de vote en 2014,<p>Zones de rattachement des bureaux de vote en 2014</p>,Citoyens,"élection, élections, vote, bureau",Open Data Paris,fr,2014-01-24T15:30:23+00:00,,,Ville de Paris,,,869,,,,,,,2014-01-24,2014-01-24,Ville de Paris,Ville de Paris,Annuelle,Paris,2014,Arrondissement,,,,,,,,,,,,,,,6
reserve-parlementaire-2013-de-lassemblee-nationale0,Réserve parlementaire 2013 de l'Assemblée nationale,<p>Subventions accordées aux collectivités et associations dans le cadre de la réserve parlementaire de 2013</p><p>Tableaux HTML scrapés sur le site de l'Assemblée nationale (http://www2.assemblee-nationale.fr/reserve_parlementaire/plf)&nbsp;et complétés par Regards Citoyens (http://www.regardscitoyens.org/)&nbsp;avec des informations issues de NosDéputés.fr (http://www.nosdeputes.fr/)</p>,Citoyens,"législatives, Assemblée nationale, réserve parlementaire",Open Database License (ODbL),fr,2014-02-01T19:10:12+00:00,,,Assemblée nationale / NosDéputés.fr / Regards Citoyens,http://www.nosdonnees.fr/dataset/r-serve-parlementaire-2013-de-l-assembl-e-nationale,,10933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
stations_et_espaces_autolib_de_la_metropole_parisienne,Stations et espaces AutoLib de la métropole parisienne,"<p>Ce jeu de données fournit pour l'ensemble des stations Autolib' d'Ile-de-France, leur positionnement géographique et leur capacité d'accueil de véhicules. </p><p>Définition:</p><div>- ID: Ce numero ID est composé d'un code commune suivi d'un code numéro station par commune.</div><div>- Identifiant Autolib': Cette identifiant est compsé du nom de la commune d'implantation de la station, du nom de la rue et du numéro de rue.</div><div>- Rue: Numéro de rue et rue de la station</div><div>- Code postal: Code postal de la commune d'implantation de la station</div><div>- Ville :Commune d'implantation de la station</div><div>- Emplacement: Espace d'emplacement de la station (Voirie ou Parking)</div><div>- Autolib': Nombre de places destinées aux véhicules Autolib'</div><div>- Tiers: Nombre de places destinées aux véhicules Tiers</div><div>- Abri: Précision sur le fait qu'il y ai ou non un espace d'abonnement sur le lieu de la station (1 = oui, 0 = non).</div>",Déplacements,"Autolib, transport, stations, espaces, bornes, véhicules, abris",Open Data Paris,fr,2014-02-11T13:31:28+00:00,,,AutoLib,www.autolibmetropole.fr,,869,,,,,,,,2013-05-20,AutoLib,AutoLib,semestrielle,Paris métropole,2014,,,,,,,,,,,,,,,,19
plaques_commemoratives_1939-1945,Plaques commémoratives 1939-1945,"<p>
	  La list des plaques commémoratives des personnes et des organisations qui se sont illustrées durant la période 1939-1945 par arrondissement.</p><p>
	      Exemples de réutilisations: - A l'aide du site www.plaques-paris.fr, conformément à la licence ODbl, le fichier web service tabulaire (Google Feuille de calcul) a reçu une amélioration. (Ajout des coordonnées géographiques)</p>",Culture,"commémoration, guerre, plaque, patrimoine",Open Data Paris,fr,2014-02-28T01:58:03+00:00,2015-06-24T23:55:02+00:00,2015-07-07T16:55:01+00:00,Ville de Paris,,,1219,,,,,,,,2012-05-31,Ville de Paris,Ville de Paris,Annuelle,Paris,2012,Arrondissement,,,,,,,,,,,,,,,11
utilisations_mensuelles_des_hotspots_paris_wi-fi,Utilisations mensuelles des hotspots Paris Wi-Fi,"<p>
<span style=""line-height: 1.45em;"">Données quantifiées des utilisations mensuelles des hotspots Paris Wi-Fi par type de site.<br>
<br>
</br></br></span><span style=""line-height: 1.45em;"">Le jeu de données comprend : le nombre de sites ouverts, leur répartition par site, les trafics en minutes par type de site, le nombre de session utilisées par type de site, le nombre de minutes par session, le nombre de Go consommés, le nombre moyen de Mo par session. Ce jeu de données permet d’analyser les consommations et les usages du dispositif Paris Wi-Fi par type de site.</span></p>",Services,"wifi, hotspots, internet, wifi paris, trafic",Open Database License (ODbL),fr,2014-03-06T11:07:54+00:00,,,,,,54,,,,,,,,2012-08-22,Ville de Paris,Ville de Paris,,,2009 - 2012,,,,,,,,,,,,,,,,12
liste_des_bureaux_de_vote_2013_liste_des_bureaux,Liste des bureaux de vote,"<p>Résultats des élections, Présidentielles, Législatives, Municipales,  Européennes et Régionales.</p><p>Exemple(s) de réutilisation(s) des données :
- Cartographie sur http://mounirsimon.com/dequelbord/</p>",Citoyens,"élections, résultats, présidentielles, municipales, législatives, européennes, régionales, vote",ODbL Paris,fr,2014-03-06T13:32:29+00:00,,,Ville de Paris,,,870,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2011-01-17,Ville de Paris,Ville de Paris,annuelle,Paris,2013,voie,,,,,,,,,,,,,,,6
liste_des_bureaux_de_vote_2013_voies_de_paris,Liste des bureaux de vote : voies de Paris,"<p>Résultats des élections, Présidentielles, Législatives, Municipales,  Européennes et Régionales.</p><p>Exemple(s) de réutilisation(s) des données :
- Cartographie sur http://mounirsimon.com/dequelbord/</p>",Citoyens,"élections, résultats, présidentielles, municipales, législatives, européennes, régionales, vote",ODbL Paris,fr,2014-03-06T13:37:45+00:00,,,Ville de Paris,,,7612,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2011-01-17,Ville de Paris,Ville de Paris,annuelle,Paris,2013,voie,,,,,,,,,,,,,,,5
titres-diffuses-sur-6-stations-de-radios-francaises,Titres diffusés sur 6 stations de radios françaises (13/01/2014 - 05/03/2014),"<p>Liste des titres diffusés sur 6 stations de radio musicales françaises: NRJ, Fun Radio, Europe 2, Virgin Radio, Ouï FM, Radio Nova.</p><p>Cette liste a été constituée à partir des informations en direct sur les sites de chaque station de radio (""titre en cours de diffusion"") entre le 13 janvier 2014 et le 5 mars 2014.</p><p>La différence de nombre de titres collectés par station s'explique par l'absence d'informations sur certaines plages horaires (par exemple la nuit, durant les émissions de type talk-show ou matinales...).</p>","Culture, Patrimoine","radio, musique",Open Database License (ODbL),en,2014-03-07T08:32:17+00:00,2015-06-01T05:19:41+00:00,2015-06-29T15:55:02+00:00,OpenDataSoft,,,74560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
liste-des-marches-de-fournitures-passes-par-le-departement-de-paris,Liste des marchés de fournitures passés par le Département de Paris,"<p>
<span style=""line-height: 1.45em;"">Le jeu de données comprend les marchés de fournitures passés passés le Département de Paris, de 2009 à 2013.</span></p><p>
<span style=""line-height: 1.45em;"">Ce jeu de données précise:</span></p><p>
<span style=""line-height: 1.45em;"">- l'année</span></p><p>
<span style=""line-height: 1.45em;"">- le n° national de marché</span></p><p>
<span style=""line-height: 1.45em;"">- le nom du titulaire</span></p><p>
<span style=""line-height: 1.45em;"">- le code postal</span></p><p>
<span style=""line-height: 1.45em;"">- l'objet du marché</span></p><p>
<span style=""line-height: 1.45em;"">- le montant </span></p><p>
<span style=""line-height: 1.45em;"">- la date de notif </span></p>",Finances,"marché, département, fournitures",Open Database License (ODbL),fr,2014-03-12T15:25:57+00:00,,,Ville de Paris,,,227,,,,,,,,,Ville De Paris,Ville de Paris,Annuelle,,2009-2012,,,,,,,,,,,,,,,,
liste-des-marches-de-fournitures-passes-par-la-ville-de-paris,Liste des marchés de fournitures passés par la Ville de Paris,"<p>
	  Le jeu de données comprend les marchés de fournitures passés par la Ville de Paris, de 2009 à 2013.</p><p>
	  Ce jeu de données comprend:</p><p>
	  - l'année</p><p>
	  - le n° national de marché</p><p>
	  - le nom du titulaire</p><p>
	  - le code postal</p><p>
	  - l'objet du marché</p><p>
	  - le montant</p><p>
<span style=""line-height: 1.45em;"">- la date de notif</span></p>",Finances,"marché, fournitures, Ville",Open Database License (ODbL),fr,2014-03-12T15:26:14+00:00,,,,,,1200,,,,,,,,,Ville De Paris,Ville de Paris,Annuelle,,,,,,,,,,,,,,,,,,1
liste-des-marches-de-services-passes-par-la-ville-de-paris,Liste des marchés de services passés par la Ville de Paris,"<p>
<span style=""line-height: 1.45em;"">Le jeu de données comprend les marchés de fournitures passés par la Ville de Paris, de 2009 à 2013.</span></p><p>
	 Ce jeu de données comprend:</p><p>
	 - l'année</p><p>
	 - le n° national de marché</p><p>
	 - le nom du titulaire</p><p>
	 - le code postal</p><p>
	 - l'objet du marché</p><p>
	 - le montant</p><p>
	 - la date de notif</p>",Finances,"marché, Ville, Services",Open Database License (ODbL),fr,2014-03-12T16:29:45+00:00,,,Ville de Paris,,,4926,,,,,,,,,Ville De Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,12
liste-des-marches-de-services-passes-par-le-departement-de-paris,Liste des marchés de services passés par le Département de Paris,"<p>
<span style=""line-height: 1.45em;"">Le jeu de données comprend les marchés de services passés par le Département de Paris, de 2009 à 2013.</span></p><p>
<span style=""line-height: 1.45em;"">Ce jeu de données comprend:</span></p><p>
<span style=""line-height: 1.45em;"">- l'année</span></p><p>
	   -le n° national de marché</p><p>
	   - le nom du titulaire</p><p>
	   - le code postal</p><p>
	   - l'objet du marché</p><p>
	   - le montant</p><p>
	   - la date de notif</p>",Finances,"marché, Services, département",Open Database License (ODbL),fr,2014-03-12T16:29:53+00:00,,,Ville de Paris,,,818,,,,,,,,,Ville De Paris,Ville de Paris,Annuelle,,2009-2012,,,,,,,,,,,,,,,,1
liste-des-marches-de-travaux-passes-par-la-ville-de-paris,Liste des marchés de travaux passés par la Ville de Paris,"<p>
<span style=""line-height: 1.45em;"">Le jeu de données comprend les marchés des travaux passés par la Ville de Paris, de 2009 à 2013.</span></p><p>
	  Ce jeu de données comprend:</p><p>
	  - l'année</p><p>
	  - le n° national de marché</p><p>
	  - le nom du titulaire</p><p>
	  - le code postal</p><p>
	  - l'objet du marché</p><p>
	  - le montant</p><p>
	  - la date de notif</p>",Finances,"marché, ville, travaux",Open Database License (ODbL),fr,2014-03-12T16:30:01+00:00,,,Ville de Paris,,,3524,,,,,,,,,Ville De Paris,Ville de Paris,Annuelle,,2009-2013,,,,,,,,,,,,,,,,6
liste-des-marches-de-travaux-passes-par-le-departement-de-paris,Liste des marchés de travaux passés par le Département de Paris,"<p>
<span style=""line-height: 1.45em;"">Le jeu de données comprend les marchés de travaux passés par le Département de Paris, de 2009 à 2013.</span></p><p>
	  Ce jeu de données comprend:</p><p>
	  - l'année</p><p>
	  - le n° national de marché</p><p>
	  - le nom du titulaire</p><p>
	  - le code postal</p><p>
	  - l'objet du marché</p><p>
	  - le montant</p><p>
	  - la date de notif</p>",Finances,"marché, travaux, département",Open Database License (ODbL),fr,2014-03-12T16:30:09+00:00,,,Ville de Paris,,,447,,,,,,,,,Ville De Paris,Ville de Paris,Annuelle,,,,,,,,,,,,,,,,,,1
liste_des_prenoms_2004_a_2012,Liste des prénoms 2004 à 2014,"<p>
<span style=""line-height: 1.45em;"">Liste des prénoms déclarés à l'état-civil  de 2004 à 2014.</span></p><p>
	   Un ""X"" dans la case ""sexe"" signifie que le prénom est mixte et que le sexe n'est pas spécifié.</p>",Citoyens,"Prénoms, bébés, paris, état-civil",Open Database License (ODbL),fr,2014-03-24T01:52:23+00:00,2015-06-25T22:55:01+00:00,2015-07-02T12:55:02+00:00,Ville de Paris,,,11000,,,,,,,,2013-07-03,Ville de Paris,Ville de Paris,Annuelle,,2004 - 2014,,,,,,,,,,,,,,,,18
resultats-de-lelection-municipale-2014-1er-tour,Résultats de l'élection municipale 2014 1er tour,<p>Résultats du 1er tour des élections Municipales de 2014</p>,Citoyens,"élections, résultats, municipales, vote, bureau, candidat",Open Data Paris,fr,2014-03-24T15:20:39+00:00,,,Ville de Paris,,,7298,,,,,,,,,Ville de Paris,Ville de Paris,Annuelle,Paris,2014,Arrondissement,,,,,,,,,,,,,,,3
resultats-de-lelection-municipale-2014-2eme-tour,Résultats de l'élection municipale 2014 2ème tour,<p>Résultats du 2ème tour des élections Municipales de 2014</p>,Citoyens,"élections, résultats, municipales, vote, bureau, candidat",Open Data Paris,fr,2014-03-31T12:19:14+00:00,,,Ville de Paris,,,1536,,,,,,,,,Ville de Paris,Ville de Paris,Annuelle,Paris,2014,Arrondissement,,,,,,,,,,,,,,,3
pokedex_clean,Google Pokemon Challenge,<p>Location of Google Pokemon Challenge's pokemons. Gotta Catch 'Em All!</p>,"Sport, Loisirs","Pokemon, April Fools, Google Maps, Pokemon Challenge, Google",CC BY-SA,en,2014-04-01T13:20:54+00:00,,,OpenDataSoft,http://pokemonaprilfools.wikia.com/wiki/Sorted_by_Pokedex_No,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262
accessibilite_des_equipements_de_la_ville_de_paris,Accessibilité des équipements de la Ville de Paris,"<p>
<span style=""line-height: 1.45em;"">Ce jeu de données recense les équipements accessibles de la Ville.</span></p><p>
	   Il détaille :<br>
<span style=""line-height: 1.45em;"">- le type d'équipement<br>
</br></span><span style=""line-height: 1.45em;"">- le nom de l'équipement<br>
</br></span><span style=""line-height: 1.45em;"">- l'adresse complète<br>
</br></span><span style=""line-height: 1.45em;"">- le type de handicap</span></br></p><p>
<span style=""line-height: 1.45em;""></span></p><p>
<span style=""line-height: 1.45em;"">Consultez la notice en pièce jointe, définissant les niveaux d'accéssibilité de chaque équipement.</span></p>",Déplacements,Equipements,Open Database License (ODbL),fr,2014-04-22T09:55:26+00:00,,,,,,2324,,,,,,,,2013-08-02,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,
les_1000_titres_les_plus_empruntes_de_2013,les 1000 titres les plus empruntés de 2013,"<p>
	 <span style=""line-height: 1.45em;"">Les 1000 références les plus empruntées en 2013 au sein des bibliothèques municipales de la ville de Paris.</span></p><p>
	 La mise de ce jeu de données est semestrielle.</p><p>
	 En pièce jointe, vous trouverez le même fichier au format xls contenant les liens vers les oeuvres.</p>",Culture,"bibliothèques, livres, documents, DVD, références, prêt",ODBl Paris,fr,2014-04-22T15:49:10+00:00,,,,,,1000,,,,,,,,2013-08-07,Ville de Paris,Ville de Paris,semestrielle,,2013,,,,,,,,,,,,,,,,1
les_1000_titres_les_plus_reserves_en_2013,Les 1000 titres les plus réservés en 2013,"<p>
	<span style=""line-height: 1.45em;"">Les 1000 références les plus réservées en 2013 au sein des bibliothèques municipales de la ville de Paris.</span></p><p>
	La mise de ce jeu de données est semestrielle.</p><p>
	En pièce jointe, vous trouverez le même fichier au format xls contenant les liens vers les oeuvres.</p>",Culture,"bibliothèques, livres, documents, DVD, références, prêt, recherche",ODbL Paris,fr,2014-04-22T16:16:38+00:00,,,,,,1000,,,,,,,,2013-08-07,Ville de Paris,Ville de Paris,Semestrielle,Paris,2013,,,,,,,,,,,,,,,,1
les_1000_titres_les_plus_recherches_en_2013,Les 1000 titres les plus recherchés en 2013,"<p>
	 <span style=""line-height: 1.45em;"">Les 1000 références les plus recherchées en 2013 au sein des bibliothèques municipales de la ville de Paris.</span></p><p>
	 La mise de ce jeu de données est semestrielle.</p><p>
	 En pièce jointe, vous trouverez le même fichier au format xls contenant les liens vers les oeuvres.</p>",Culture,"bibliothèques, livres, documents, DVD, références, prêt, recherche",ODBl Paris,fr,2014-04-22T16:22:40+00:00,,,,,,1000,,,,,,,,2013-08-07,Ville de Paris,Ville de Paris,Semestrielle,Paris,2013,,,,,,,,,,,,,,,,1
bornes_et_arceaux_de_stationnement_a_paris,Bornes et Arceaux de Stationnement à Paris,"<p>
<span style=""line-height: 1.45em;"">Données de type vecteur décrivant des bornes: à vélo, d'amarrage, rabattable, les épingles moto, arceaux pour véhicules...</span></p>",Déplacements,"Equipements, Paris, Mobilier urbain, bornes, arceaux",Open Database License (ODbL),fr,2014-04-25T14:13:21+00:00,2015-06-24T14:55:01+00:00,2015-07-02T19:55:02+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=91&portlet_id=106,,524414,,,,,,,,2012-04-04,,,,,,,,,,,,,,,,,,,,,13
liste-des-cafes-a-un-euro,Liste des cafés à un euro,"<p>
	                     La liste des cafés à un euro de Paris.</p><p>
	                     Ce jeu de données est totalement crowdsourcé. N'hésitez pas à participer à l'enrichissement de ce jeu de données ici: <a href=""https://docs.google.com/spreadsheet/viewform?formkey=dGNHWl83NzJvUm9USk1NZVkzWENRUUE6MQ"">https://docs.google.com/spreadsheet/viewform?formkey=dGNHWl83NzJvUm9USk1NZVkzWENRUUE6MQ</a></p>",Services,"Café, bistrot, euro, snack, bar, terrasse",ODbL Paris,fr,2014-05-15T10:44:01+00:00,2015-07-05T22:00:03+00:00,2015-07-08T12:55:02+00:00,,https://docs.google.com/spreadsheet/viewform?formkey=dGNHWl83NzJvUm9USk1NZVkzWENRUUE6MQ,,181,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,2013-08-13,,,,,,,,,,,,,,,,,,,,,,11
resultats_electoraux,Résultats électoraux,"<p>Résultats des élections, Présidentielles, Législatives, Municipales,  Européennes et Régionales de 2007 à 2014 par arrondissement, bureau et candidat.</p><p>A partir des Elections Européennes de 2014, ont été rajoutées les colonnes ""Nombres de blancs"", ""Nombres de nuls"" et ""Nombre de procurations""</p>",Citoyens,"élections, résulats, présidentielles, communales, municipales, législatives, européennes, régionales, vote, bureau, candidat",Open Data Paris,fr,2014-05-26T16:01:21+00:00,,,Ville de Paris,,,124736,,,,,,,,2012-11-17,Ville de Paris,Ville de Paris,Annuelle,Paris,2012,Arrondissement,,,,,,,,,,,,,,,5
accidentologie,Accidentologie,"<p>Elements d'accidentologie de Paris.</p><p>Intitulés des colonnes: </p><p>- Carac = Caractéristiques ; </p><p>- Com =
Commune (nombre à 3 chiffres, composé du 1 [pour paris] et suivi du numéro de
l’arrondissement) ; </p><p>- Carr = carrefour ; </p><p>- Segm = segment de voie ; </p><p>- NomV = nom de voie ; </p><p>- Vehi1 = véhicule 1 ; </p><p>- CAdmin = catégorie
administrative du véhciules, </p><p>- LVeh = lettre affectée au véhicule impliqué (le
vehi1 a la lettre A, le vehi2 a la lettre B, le vehi 3, s’il y en a un 3ème, a
la lettre C, la lettre Z signifie « Véhicule en fuite » ;</p><p>- CatU =
catégorie d’usager (BL = blessé léger ; BH = blessé hospitalisé</p><p>Le code carrefour est un code nœud du RGU (référentiel
géographique unique).</p>",Déplacements,"accident, voiture, véhicule",ODbL Paris ,fr,2014-05-27T09:45:01+00:00,,,Direction de la Voirie et des déplacements - Agence de la mobilité,,,13630,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,,,,Annuelle,,01-01-12 / 31-12-13,,,,,,,,,,,,,,,,9
mobilierelectriqueparis2011,Mobilier électrique - Données géographiques,"<p>
    Données de type vecteur, décrivant certains mobiliers électriques : bornes pour véhicule électrique, prises basse tension. </p>","Déplacements, Urbanisme","Equipements, Mobilier urbain, Paris, voiture éléctrique",Open Database License (ODbL),fr,2014-06-16T15:40:04+00:00,,,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=95&portlet_id=102,,1146,,,,,,,,2011-04-05,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,8
mobiliereaupotableparis2011,Mobiliers de distribution d'eau potable et non potable - Données géographiques,"<p>
    Données de type vecteur décrivant divers points de distribution d'eau potable ou non potable : fontaine wallace, borne fontaine, vanne, bouche...
    <br>
<br>
<strong style=""line-height: 1.45em;"">
                Exemple(s) de réutilisation(s) des données :
                <br>
</br>
</strong>
<span style=""line-height: 1.45em;"">
                - Site web et App iPhone
            </span>
<a href=""http://www.eaupen.net%20/"" style=""line-height: 1.45em;"">
                http://www.eaupen.net
            </a>
</br>
</br>
</p>",Urbanisme,"Paris, Mobilier urbain, Equipements, Eau potable, eau",Open Database License (ODbL),fr,2014-06-16T15:42:25+00:00,2015-06-24T14:55:02+00:00,2015-07-08T15:55:01+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=92&portlet_id=102,,65966,,,,,,,,2011-04-04,Ville de Paris,Ville de Paris,,annuelle,,,,,,,,,,,,,,,,,4
tournagesdefilmsparis2011,Lieux de tournage de films (long métrage),"Liste des lieux de tournages extérieurs de long métrage à Paris de 2002 à 2010. Avertissement : certains films ont pu changer de nom entre le moment des tournages et leurs sorties en salle.
",Culture,"Cinéma, Paris",Open Data Paris,fr,2014-06-16T15:45:35+00:00,,,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=110&portlet_id=106,,8593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
sanisettesparis2011,Sanisettes - Données géographiques,"<p>
    Données de type vecteur décrivant divers modèles de sanisettes
    <br>
<br>
<strong style=""line-height: 1.45em;"">
                Exemple(s) de réutilisation(s) des données
            </strong>
<span style=""line-height: 1.45em;"">
                :
                <br>
</br>
</span>
<span style=""line-height: 1.45em;"">
                - Paris Toilettes Publiques une application mobile sur Windows Phone 7 présente sur le Windows Phone Market
                <br>
</br>
</span>
<span style=""line-height: 1.45em;"">
                - Une
            </span>
<a href=""https://market.android.com/details?id=com.magetys.sanisettes"" style=""line-height: 1.45em;"">
                application mobile pour Android sur Google Play
                <br>
</br>
</a>
<span style=""line-height: 1.45em;"">
                -
            </span>
<a href=""http://toilettes-paris.com/"" style=""line-height: 1.45em;"">
                Une application mobile pour iPhone
                <br>
</br>
</a>
<span style=""line-height: 1.45em;"">
                - Application Android ""VuzZz""
            </span>
<a href=""https://play.google.com/store/apps/details?id=com.vuzzz.android&amp;feature=search_result#?t=W251bGwsMSwyLDEsImNvbS52dXp6ei5hbmRyb2lkIl0."" style=""line-height: 1.45em;"">
                Lien Google Play
            </a>
</br>
</br>
</p>",Urbanisme,"Equipements, Paris, Mobilier urbain",Open Database License (ODbL),fr,2014-06-16T15:50:56+00:00,,,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=93&portlet_id=106,,398,,,,,,,,2011-04-04,,,annuelle,,,,,,,,,,,,,,,,,,15
liste_des_sites_des_hotspots_paris_wifi,Liste des sites des hotspots Paris WiFi,"<p>
    Liste des sites municipaux disposant d'un hotspot Paris WiFi permettant une connexion à Internet offerte pendant 2h.
</p>",Services,"wifi, internet, navigation, hotspot, web",Open Database License (ODbL),fr,2014-06-16T15:52:04+00:00,2015-06-25T11:55:00+00:00,2015-07-08T14:55:04+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=125&portlet_id=102,,296,,,,,,,,2012-04-12,Ville de Paris,Ville de Paris,trimestrielle,,,,,,,,,,,,,,,,,,13
consultations_des_centres_de_sante,Consultations des centres de santé à Paris,"<p>
    Des professionnels médicaux, paramédicaux et sociaux accueillent et proposent des consultations de médecine générale et spécialisée, ou dentaires, des examens radiologiques et échographiques, des soins infirmiers et de pédicure, des informations et des conseils de prévention. Le jeu de données comprend toutes les consultations proposées par les centres de santé du réseau paris santé avec leur type, leur localisation, leurs horaires.
</p>",Services,"médecins, dentistes, prévention, soins, paramédicaux, santé",Open Database License (ODbL),fr,2014-06-16T15:56:26+00:00,,,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=122&portlet_id=102,,5189,,,,,,,,2012-05-17,,,,,,,,,,,,,,,,,,,,,19
parcs_de_stationnement_en_sous_sol_a_paris,Parc de stationnement en sous-sol,"<p>Ce jeu de données comprend les parcs de stationnement en sous-sol concédés à Paris ainsi que ceux d'autres fournisseurs non affiliés à la Ville.</p><p>Le jeu de données comprend de nombreuses données : </p><ul><li><span style=""line-height: 1.45em; background-color: initial;"">Nom</span></li><li><span style=""line-height: 1.45em; background-color: initial;""></span><span style=""line-height: 1.45em; background-color: initial;"">A</span><span style=""line-height: 1.45em; background-color: initial;"">dresse</span></li><li><span style=""line-height: 1.45em; background-color: initial;""></span><span style=""line-height: 1.45em; background-color: initial;"">C</span><span style=""line-height: 1.45em; background-color: initial;"">aractéristiques et services du parc</span></li><li><span style=""line-height: 1.45em; background-color: initial;""></span>Nom , site internet et téléphone du délégataire</li><li>Places pour les personnes à mobilité réduite</li><li>Horaires</li><li>Accès selon les véhicules</li><li><span style=""line-height: 1.45em; background-color: initial;"">T</span><span style=""line-height: 1.45em; background-color: initial;"">arification selon le véhicule et la durée du stationnelent</span></li><li><span style=""line-height: 1.45em; background-color: initial;""></span><span style=""line-height: 1.45em; background-color: initial;"">D</span><span style=""line-height: 1.45em; background-color: initial;"">urée de stationnement</span></li><li><span style=""line-height: 1.45em; background-color: initial;""></span>Tarfication des abonnements</li></ul><p>En pièce jointe, une version simplifiée du jeu de données comrpenant le nom du parc, l'adresse et la société gestionnaire</p>",Déplacements,"parking, stationnement, voiture",Open Data Paris,fr,2014-06-25T13:28:06+00:00,2015-06-26T01:55:01+00:00,2015-06-29T10:55:02+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=136&portlet_id=102,,161,,,,,,,,2012-04-23,Ville De Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,98
jcdecaux_bike_data,JCDecaux Bike Stations Data,"<p>JCDecaux bike stations availability data. This dataset is updated in real time.</p><p>You can access these data directly from the JCDecaux Developer site: <a href=""https://developer.jcdecaux.com/#/home"" target=""_blank"">https://developer.jcdecaux.com/#/home</a>.</p>","Transport, Movements","Urban Data, Mobility, Bike",https://developer.jcdecaux.com/#/opendata/license,en,2014-06-26T23:05:28+00:00,2015-07-20T07:35:01+00:00,2015-07-20T07:35:02+00:00,JCDecaux,https://developer.jcdecaux.com/#/home,,3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
